,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
138495,VCB,20170113,36.8029,37.488,36.6561,36.6561,1164660
138790,VCB,20170112,37.5821,37.68,36.9949,37.0965,1863070
139083,VCB,20170111,37.5859,37.9285,37.4391,37.6349,1498220
139369,VCB,20170110,37.5821,37.8268,37.5331,37.5859,1234210
139659,VCB,20170109,37.3902,38.1243,37.2923,37.8796,2379510
139966,VCB,20170106,36.4076,37.5821,36.3098,37.0965,2495910
140239,VCB,20170105,36.114000000000004,36.5055,36.0651,36.3624,855250
140539,VCB,20170104,36.705,36.8029,36.0198,36.2156,1339740
140827,VCB,20170103,34.8453,36.705,34.8453,36.4603,2018750
141151,VCB,20161230,34.6985,34.9432,34.6495,34.6985,565850
141443,VCB,20161229,35.1389,35.1389,34.6495,34.6985,482410
141734,VCB,20161228,35.3347,35.3347,34.8453,34.8453,647070
142044,VCB,20161227,35.4326,35.6283,35.2368,35.2368,821630
142339,VCB,20161226,34.8942,35.4326,34.8453,35.3347,1005930
142654,VCB,20161223,34.2091,34.8453,34.1112,34.8453,985440
142927,VCB,20161222,34.3524,34.3524,34.1077,34.1601,422940
143218,VCB,20161221,34.1601,34.4538,33.9644,34.2091,314930
143506,VCB,20161220,34.5516,34.5516,34.1112,34.2091,449350
143802,VCB,20161219,34.3524,34.5481,34.2545,34.4048,847210
144107,VCB,20161216,34.258,34.3559,33.9644,34.3559,1269760
144394,VCB,20161215,34.0622,34.5516,33.7686,34.258,540870
144685,VCB,20161214,33.5205,34.1077,33.5205,34.0622,500040
144980,VCB,20161213,34.1566,34.1566,33.5205,33.6707,775830
145269,VCB,20161212,33.863,34.2545,33.863,34.1601,557230
145564,VCB,20161209,34.0588,34.4013,34.0588,34.3069,566840
145849,VCB,20161208,33.6707,34.6985,33.475,34.258,677500
146162,VCB,20161207,33.4226,33.6673,33.4226,33.6707,779510
146471,VCB,20161206,34.2056,34.2056,33.2758,33.426,1338320
146757,VCB,20161205,34.3524,34.4013,34.1566,34.1601,548780
147050,VCB,20161202,34.4502,34.597,34.3524,34.5516,751530
147349,VCB,20161201,34.7474,34.7474,34.4538,34.5027,866550
147633,VCB,20161130,33.8665,34.4538,33.6707,34.4538,2063550
147960,VCB,20161129,34.5516,34.7474,34.0622,34.258,1322100
148261,VCB,20161128,34.9432,34.9432,34.6006,34.7474,1062520
148543,VCB,20161125,35.2332,35.3311,34.9396,35.041,689900
148835,VCB,20161124,35.3347,35.5794,35.1389,35.2368,632950
149107,VCB,20161123,35.3311,35.6736,35.2332,35.5304,938330
149425,VCB,20161122,34.9432,35.2368,34.8942,35.2368,623270
149726,VCB,20161121,34.7963,35.041,34.7474,34.9432,592840
150011,VCB,20161118,34.7439,34.8907,34.6949,34.7963,628230
150306,VCB,20161117,35.0375,35.0375,34.597,34.8942,737730
150612,VCB,20161116,35.0375,35.1353,34.8417,35.041,455210
150904,VCB,20161115,34.9885,35.4779,34.9885,35.041,278870
151181,VCB,20161114,35.4779,35.4779,34.9885,35.041,745100
151498,VCB,20161111,35.7262,36.0198,35.2857,35.4815,898610
151773,VCB,20161110,35.6247,35.8204,35.5757,35.6283,792150
152057,VCB,20161109,35.5304,35.5304,34.258,35.2368,1690880
152370,VCB,20161108,35.6247,35.6736,35.2332,35.6283,1088300
152678,VCB,20161107,34.3559,35.5304,34.3069,35.4815,1085380
152937,VCB,20161104,34.4538,34.4538,34.1601,34.258,613830
153265,VCB,20161103,34.4048,34.5027,34.0133,34.258,984650
153539,VCB,20161102,35.0375,35.1843,34.646,34.6495,508170
153844,VCB,20161101,35.0375,35.4289,34.9396,35.1389,519580
154139,VCB,20161031,35.2368,35.6773,35.2368,35.2368,672940
154429,VCB,20161028,35.5268,35.6247,35.1353,35.5304,435980
154729,VCB,20161027,34.5481,35.5268,34.5481,35.5304,844890
155011,VCB,20161026,34.9885,35.0375,34.5481,34.5516,694100
155283,VCB,20161025,35.3347,35.3347,34.6495,34.9921,1336590
155569,VCB,20161024,36.0198,36.2156,35.3347,35.3347,682740
155892,VCB,20161021,35.922,36.2156,35.8241,35.922,775760
156178,VCB,20161020,36.0198,36.2156,35.922,35.922,590370
156454,VCB,20161019,36.0198,36.4114,35.8241,35.922,960210
156742,VCB,20161018,35.6283,36.1177,35.3347,35.6773,943960
157064,VCB,20161017,36.4076,36.4076,35.6247,35.6283,1573680
157340,VCB,20161014,36.5092,36.9008,36.4114,36.4114,840790
157628,VCB,20161013,36.897,36.897,36.3098,36.5092,587930
157940,VCB,20161012,36.9986,37.1455,36.6561,36.8029,532610
158199,VCB,20161011,36.897,36.9949,35.8204,36.9986,2070950
158531,VCB,20161010,37.1455,37.3902,36.2156,36.705,1014570
158815,VCB,20161007,37.6349,37.8306,36.9986,37.1455,1316880
159084,VCB,20161006,37.3902,37.8306,37.3902,37.537,1173090
159405,VCB,20161005,37.6838,37.7817,37.3412,37.3902,931670
159680,VCB,20161004,37.0927,37.7778,36.9949,37.0965,1653180
159966,VCB,20161003,37.4842,37.7778,36.897,37.0965,1293590
160264,VCB,20160930,37.4842,37.9736,37.1906,37.488,1402860
160564,VCB,20160929,38.1693,38.3161,37.1906,37.488,1749200
160883,VCB,20160928,37.9774,38.369,37.7327,38.1732,1753620
161145,VCB,20160927,36.8029,37.8306,36.6071,37.7817,2049090
161435,VCB,20160926,36.5582,37.1455,36.2645,36.8029,1147450
161720,VCB,20160923,36.705,36.8518,36.4114,36.5582,836780
161996,VCB,20160922,36.9986,37.488,36.6561,36.705,1593200
162291,VCB,20160921,36.2156,36.8029,36.2156,36.6561,1739860
162589,VCB,20160920,35.922,36.8029,35.5304,36.6561,1203310
162875,VCB,20160919,34.9396,36.0651,34.9396,35.873000000000005,1527320
163154,VCB,20160916,35.2368,35.3347,34.258,34.258,7265480
163464,VCB,20160915,36.0198,36.3135,35.2368,35.2368,717270
163726,VCB,20160914,34.7963,36.6071,34.7963,35.7262,1555400
164034,VCB,20160913,36.705,36.705,35.2368,35.2368,2161880
164330,VCB,20160912,37.7817,37.7817,36.2156,36.6561,1033010
164604,VCB,20160909,37.1944,38.2711,36.9986,37.8796,3353710
164902,VCB,20160908,36.2457,36.2457,35.535,35.8907,1899730
165204,VCB,20160907,36.2457,36.9564,35.535,35.8907,1582570
165498,VCB,20160906,36.2457,36.6011,35.535,35.8907,1844160
165789,VCB,20160905,37.3118,37.3118,35.3929,35.8907,4191860
166051,VCB,20160901,38.7332,39.0885,36.6011,37.3121,3427730
166359,VCB,20160831,39.4439,40.1546,38.0225,38.3782,2593570
166638,VCB,20160830,40.1546,40.5099,39.0885,39.4442,1550890
166943,VCB,20160829,42.2867,42.9974,40.8653,40.8656,1324350
167241,VCB,20160826,39.7992,40.8653,39.4439,40.8656,1821780
167528,VCB,20160825,38.3778,38.7332,38.0225,38.3782,453540
167824,VCB,20160824,38.0225,38.7332,38.0225,38.3782,275230
168131,VCB,20160823,37.6671,38.3778,37.3118,37.6675,559330
168416,VCB,20160822,39.0885,39.0885,38.0225,38.0228,466900
168722,VCB,20160819,37.6671,38.7332,37.6671,38.0228,250570
168988,VCB,20160818,38.3778,39.0885,37.6671,37.6675,577820
169308,VCB,20160817,38.3778,38.3778,36.9564,37.6675,635370
169566,VCB,20160816,38.3778,39.0885,38.0225,38.3782,513280
169864,VCB,20160815,38.0225,39.0885,38.0225,38.7335,165580
170170,VCB,20160812,39.4439,39.7992,38.0225,38.7335,331030
170458,VCB,20160811,38.0225,39.7992,38.0225,39.7996,737430
170747,VCB,20160810,37.3118,38.3778,37.3118,38.0228,310040
171057,VCB,20160809,36.9564,37.6671,36.6011,37.6675,181050
171344,VCB,20160808,36.6011,36.9564,35.8904,36.9567,348760
171622,VCB,20160805,37.3118,37.3118,35.8904,36.246,327970
171894,VCB,20160804,36.2457,38.3778,35.8904,36.9567,537660
172199,VCB,20160803,36.2457,36.6011,35.1797,35.8907,324230
172506,VCB,20160802,37.6671,37.6671,36.2457,36.6014,634560
172792,VCB,20160801,38.3778,38.3778,37.6671,37.6675,365040
173059,VCB,20160729,38.7332,39.0885,38.0225,38.3782,225610
173358,VCB,20160728,38.7332,39.0885,38.0225,39.0889,91390
173654,VCB,20160727,38.7332,38.7332,37.3118,38.7335,402240
173959,VCB,20160726,37.6671,38.3778,36.9564,37.6675,268770
174244,VCB,20160725,36.9564,38.0225,36.6011,37.6675,318900
174543,VCB,20160722,39.0885,39.4439,36.9564,36.9567,886600
174849,VCB,20160721,39.0885,39.4439,37.6671,39.4442,657360
175111,VCB,20160720,40.1546,40.1546,38.3778,39.0889,422540
175422,VCB,20160719,39.7992,40.5099,39.0885,39.7996,559050
175704,VCB,20160718,38.0225,39.7992,37.6671,39.4442,736570
176024,VCB,20160715,39.7992,40.5099,38.3778,38.3782,850920
176289,VCB,20160714,41.2206,41.576,39.7992,39.7996,921830
176595,VCB,20160713,38.3778,40.8653,38.3778,40.8656,1442560
176915,VCB,20160712,36.9564,38.3778,36.9564,38.3782,725030
177443,VCB,20160711,36.6011,38.0225,36.2457,36.9567,1538540
177505,VCB,20160708,36.2457,37.3118,35.535,36.246,834180
177813,VCB,20160707,35.8904,36.2457,35.3929,36.246,714940
178087,VCB,20160706,35.535,36.6011,35.4639,35.5353,592020
178402,VCB,20160705,35.1086,36.9564,35.1086,35.8907,1658790
178673,VCB,20160704,33.7583,35.1086,33.7583,34.9668,1206430
178980,VCB,20160701,33.6161,33.9715,33.4029,33.7586,523850
179259,VCB,20160630,33.474000000000004,33.7583,33.4029,33.6164,478490
179564,VCB,20160629,33.1186,33.6872,33.1186,33.6164,544530
179852,VCB,20160628,32.5501,33.2608,32.5501,32.9768,403030
180136,VCB,20160627,32.9765,32.9765,32.2658,32.8346,341850
180434,VCB,20160624,34.0425,34.1136,31.7683,33.2611,827980
180733,VCB,20160623,33.3318,34.1136,33.2608,34.1139,688340
181045,VCB,20160622,33.4029,33.474000000000004,33.0476,33.2611,483280
181297,VCB,20160621,33.3318,33.474000000000004,33.2608,33.4032,527750
181583,VCB,20160620,33.474000000000004,33.6161,32.9054,33.3321,622260
181862,VCB,20160617,33.6161,33.9004,33.474000000000004,33.4743,946910
182171,VCB,20160616,34.0425,34.1847,33.8293,33.9007,627180
182477,VCB,20160615,34.2557,34.2557,33.9004,33.9718,603140
182748,VCB,20160614,34.1847,34.54,33.9715,34.3271,789760
183039,VCB,20160613,34.469,34.7532,34.3268,34.3982,1201150
183317,VCB,20160610,34.1847,34.8954,34.1847,34.4693,885040
183622,VCB,20160609,34.0425,34.3268,33.9004,34.185,401410
183876,VCB,20160608,34.1847,34.54,33.9715,34.0428,912800
184167,VCB,20160607,34.1136,34.3268,33.9004,34.185,435960
184477,VCB,20160606,33.474000000000004,34.469,33.474000000000004,33.9718,783790
184773,VCB,20160603,33.4029,33.7583,33.4029,33.6164,440430
185081,VCB,20160602,33.2608,33.6161,33.1186,33.4743,290780
185368,VCB,20160601,33.0476,33.4029,33.0476,33.3321,370980
185644,VCB,20160531,33.3318,33.7583,33.1186,33.19,490340
185947,VCB,20160530,32.479,33.2608,32.2658,33.2611,535160
186210,VCB,20160527,32.2658,32.4079,31.8394,32.195,591480
186499,VCB,20160526,32.6922,32.9054,32.1947,32.195,722940
186784,VCB,20160525,33.0476,33.1897,32.6922,32.6925,272480
187092,VCB,20160524,32.9765,33.0476,32.3369,32.6214,757630
187378,VCB,20160523,33.6161,33.9715,32.7633,32.7636,701070
187680,VCB,20160520,34.54,34.6822,33.545,33.6875,1038420
187955,VCB,20160519,34.8243,34.8243,34.1847,34.185,402860
188247,VCB,20160518,34.3268,35.3929,34.2557,34.8246,1259090
188528,VCB,20160517,34.2557,34.6822,34.0425,34.3271,663200
188826,VCB,20160516,33.6872,34.3268,33.545,34.3271,377280
189104,VCB,20160513,34.1136,34.3268,33.4029,33.8296,679240
189428,VCB,20160512,34.8243,35.0375,34.1136,34.1139,488750
189695,VCB,20160511,34.54,34.9664,34.3268,34.8246,713460
190009,VCB,20160510,34.1136,34.54,33.8293,34.5403,544750
190289,VCB,20160509,34.54,35.0375,34.1136,34.1139,831230
190575,VCB,20160506,33.6872,34.6822,33.545,34.5403,1525690
190884,VCB,20160505,33.0476,33.9715,32.9054,33.4743,1076200
191157,VCB,20160504,32.5501,33.1897,32.1236,32.7636,747740
191444,VCB,20160429,32.4079,33.2608,32.4079,32.6925,726380
191755,VCB,20160428,32.6922,33.2608,32.479,32.8346,693290
192046,VCB,20160427,33.545,33.7583,32.6211,32.6925,1194570
192336,VCB,20160426,32.3369,33.545,32.3369,33.5454,835300
192617,VCB,20160425,32.6211,33.2608,32.6211,32.6214,1300050
192899,VCB,20160422,30.489,32.5501,30.489,32.4793,2478140
193171,VCB,20160421,30.418000000000003,30.7022,30.2758,30.4893,818280
193483,VCB,20160420,30.2048,30.418000000000003,29.9205,30.4182,769750
193741,VCB,20160419,30.2758,30.7733,29.9915,30.134,983900
194030,VCB,20160415,30.2048,30.9155,30.0626,30.205,1187790
194354,VCB,20160414,29.7783,30.2048,29.7073,30.0629,774160
194623,VCB,20160413,29.7783,30.1337,29.7073,29.7786,633990
194891,VCB,20160412,29.5651,30.2758,29.1387,29.9208,970780
195204,VCB,20160411,29.423000000000002,29.8494,29.0676,29.5654,985640
195499,VCB,20160408,29.4941,29.6362,29.3519,29.4233,653640
195763,VCB,20160407,29.9915,29.9915,29.2098,29.6365,594270
196055,VCB,20160406,29.1387,29.8494,29.0676,29.8497,920280
196356,VCB,20160405,29.0676,29.423000000000002,28.9255,29.139,610190
196604,VCB,20160404,29.2808,29.3519,28.7834,29.0679,439520
196925,VCB,20160401,29.1387,29.423000000000002,28.9966,29.0679,554870
197184,VCB,20160331,29.8494,29.9915,29.1387,29.139,937910
197473,VCB,20160330,29.5651,30.0626,29.5651,29.9208,444490
197777,VCB,20160329,30.489,30.489,29.8494,29.8497,325890
198067,VCB,20160328,30.489,30.5601,30.2758,30.4182,533900
198338,VCB,20160325,29.8494,30.418000000000003,29.5651,30.4182,1381530
198651,VCB,20160324,30.489,30.5601,29.8494,29.9208,825250
198936,VCB,20160323,30.7733,30.7733,30.418000000000003,30.4893,645700
199244,VCB,20160322,30.5601,30.7733,30.418000000000003,30.7736,592130
199520,VCB,20160321,30.7733,31.1997,30.418000000000003,30.4893,1862820
199818,VCB,20160318,30.2758,30.418000000000003,29.9915,30.205,3546350
200115,VCB,20160317,30.3469,31.0576,30.3469,30.3472,1074970
200390,VCB,20160316,29.9205,30.9155,29.9205,30.7025,1864950
200688,VCB,20160315,29.4941,29.9205,29.4941,29.8497,1294120
200973,VCB,20160314,29.6362,29.6362,29.3519,29.6365,807110
201253,VCB,20160311,29.7073,29.7783,29.4941,29.5654,510750
201534,VCB,20160310,29.4941,29.6362,29.1387,29.5654,643780
201850,VCB,20160309,29.6362,29.7783,29.3519,29.4233,469530
202132,VCB,20160308,29.7073,29.8494,29.423000000000002,29.5654,775770
202404,VCB,20160307,29.7073,29.9915,29.6362,29.7075,567700
202695,VCB,20160304,29.5651,30.2048,29.4941,29.7075,681190
202975,VCB,20160303,29.5651,29.9205,29.4941,29.5654,464550
203260,VCB,20160302,29.2098,29.7783,29.1387,29.6365,647420
203554,VCB,20160301,29.1387,29.4941,28.9255,28.9258,849900
203850,VCB,20160229,29.7073,29.8494,29.1387,29.139,887030
204148,VCB,20160226,29.8494,29.8494,29.3519,29.8497,493160
204429,VCB,20160225,30.2048,30.5601,29.5651,29.7075,1236220
204691,VCB,20160224,29.1387,30.5601,28.9255,30.0629,1653800
204972,VCB,20160223,28.9255,29.5651,28.9255,29.139,1130660
205278,VCB,20160222,28.4991,28.7834,28.428,28.7125,653090
205584,VCB,20160219,28.8544,28.8544,28.4991,28.4993,473670
205867,VCB,20160218,28.428,29.0676,28.3569,28.6415,735780
206143,VCB,20160217,28.6412,28.8544,28.2859,28.2861,827530
206420,VCB,20160216,28.4991,28.9966,28.4991,28.6415,390050
206692,VCB,20160215,28.2859,28.8544,28.0016,28.6415,800790
206980,VCB,20160205,28.1437,28.7123,28.1437,28.4993,268300
207232,VCB,20160204,28.428,28.8544,28.428,28.4283,286750
207523,VCB,20160203,28.428,28.428,27.9305,28.144000000000002,802180
207787,VCB,20160202,28.7123,28.9966,28.6412,28.7125,603810
208068,VCB,20160201,29.423000000000002,29.4941,28.9255,28.9258,223320
208331,VCB,20160129,28.7834,29.423000000000002,28.6412,29.4233,1019250
208612,VCB,20160128,28.6412,28.9966,28.6412,28.7836,562170
208879,VCB,20160127,29.3519,29.3519,28.7834,28.7836,582060
209171,VCB,20160126,28.7834,29.3519,28.6412,28.8547,656340
209431,VCB,20160125,28.428,29.7783,28.428,29.6365,1367810
209724,VCB,20160122,28.428,28.4991,27.433000000000003,28.144000000000002,777540
209991,VCB,20160121,28.0016,28.428,27.7884,28.0018,654450
210266,VCB,20160120,28.428,29.1387,28.0727,28.4283,733790
210539,VCB,20160119,27.433000000000003,28.7123,27.433000000000003,28.6415,771340
210826,VCB,20160118,28.0727,28.428,27.0066,27.4333,1614080
211106,VCB,20160115,29.7073,29.8494,28.8544,28.8547,880150
211374,VCB,20160114,29.7073,29.9915,29.4941,29.7075,641380
211662,VCB,20160113,30.418000000000003,30.489,30.0626,30.0629,448800
211934,VCB,20160112,29.8494,30.3469,29.8494,30.3472,481040
212199,VCB,20160111,29.9915,30.1337,29.7073,29.7786,742390
212465,VCB,20160108,30.0626,30.2758,29.6362,29.9918,676340
212743,VCB,20160107,30.418000000000003,30.489,29.8494,30.205,935460
213038,VCB,20160106,30.2048,30.7022,30.2048,30.5604,699490
213308,VCB,20160105,30.489,30.8444,30.1337,30.205,1133260
213606,VCB,20160104,30.7022,31.2708,30.2758,30.7025,761750
