,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
62200,VCB,20171229,54.0,55.0,53.9,54.3,2753570
62528,VCB,20171228,52.5,54.9,52.5,54.1,2321870
62863,VCB,20171227,51.4,52.8,51.1,52.5,2214360
63213,VCB,20171226,51.5,51.7,50.5,51.4,1701570
63550,VCB,20171225,51.0,51.7,50.8,51.4,1491740
63856,VCB,20171222,48.2,50.8,48.05,50.8,4459390
64182,VCB,20171221,49.0,49.2,48.5,48.5,1547200
64518,VCB,20171220,47.75,49.35,47.4,49.0,2587600
64857,VCB,20171219,47.9,48.45,47.35,47.75,1958480
65177,VCB,20171218,47.0,48.2,46.6,47.8,2349430
65508,VCB,20171215,45.3,46.5,45.2,46.0,2574240
65845,VCB,20171214,44.0,45.5,43.9,45.3,2166840
66150,VCB,20171213,45.0,45.1,43.7,44.0,1177420
66507,VCB,20171212,45.3,45.4,41.6,44.7,2440280
66829,VCB,20171211,46.0,46.9,44.6,44.6,1447900
67151,VCB,20171208,47.6,47.6,46.5,47.05,1517040
67478,VCB,20171207,48.0,48.0,46.7,47.6,2737090
67814,VCB,20171206,48.0,48.3,47.1,48.0,2102030
68131,VCB,20171205,49.0,50.0,48.1,48.1,1975550
68479,VCB,20171204,48.5,49.4,48.3,49.4,1939700
68819,VCB,20171201,48.6,48.9,48.0,48.3,2085760
69117,VCB,20171130,48.8,50.0,48.5,48.5,1997210
69457,VCB,20171129,48.0,49.0,48.0,49.0,1440140
69792,VCB,20171128,48.1,48.4,47.5,48.2,1712500
70140,VCB,20171127,47.5,48.2,46.8,47.9,2242960
70452,VCB,20171124,47.5,47.7,47.0,47.4,1363450
70793,VCB,20171123,48.7,48.9,46.85,47.9,2666680
71106,VCB,20171122,46.7,48.1,46.7,48.0,3116060
71440,VCB,20171121,45.3,47.7,45.2,46.7,3799100
71780,VCB,20171120,44.4,45.0,44.35,45.0,1783000
72110,VCB,20171117,44.8,45.15,44.35,44.4,2063770
72436,VCB,20171116,43.75,44.85,43.6,44.7,2077060
72776,VCB,20171115,43.6,44.2,43.6,43.6,1304050
73087,VCB,20171114,43.5,44.4,43.35,43.8,3008230
73403,VCB,20171113,43.5,43.7,43.0,43.4,2104320
73728,VCB,20171110,43.0,43.65,42.8,43.1,2187370
74039,VCB,20171109,43.8,44.0,43.1,43.1,1899000
74402,VCB,20171108,42.45,44.0,42.2,43.6,2695690
74697,VCB,20171107,42.5,42.85,42.0,42.45,1712940
75034,VCB,20171106,42.0,42.9,41.8,42.5,2460760
75344,VCB,20171103,41.4,41.9,40.8,41.9,1399850
75664,VCB,20171102,41.6,42.9,41.1,41.1,2341010
75977,VCB,20171101,41.6,41.85,41.35,41.6,2149100
76292,VCB,20171031,41.9,42.1,41.4,41.4,1322440
76636,VCB,20171030,42.3,42.95,41.5,41.9,3808170
76944,VCB,20171027,40.6,42.0,40.45,42.0,2347090
77265,VCB,20171026,40.75,41.25,40.2,40.6,1922030
77569,VCB,20171025,40.0,40.8,40.0,40.75,1385130
77908,VCB,20171024,39.85,40.3,39.5,40.0,1212060
78229,VCB,20171023,39.9,41.35,39.8,39.9,3568930
78554,VCB,20171020,40.55,41.3,40.45,40.8,2072400
78876,VCB,20171019,40.7,40.9,40.3,40.5,1482080
79203,VCB,20171018,40.9,41.4,40.55,40.7,3053330
79506,VCB,20171017,39.05,41.0,39.0,41.0,3062770
79821,VCB,20171016,39.45,39.5,38.95,39.05,1542490
80153,VCB,20171013,39.0,39.4,39.0,39.35,1784200
80482,VCB,20171012,39.35,39.45,39.05,39.05,1767480
80764,VCB,20171011,39.8,39.9,39.05,39.35,2835470
81107,VCB,20171010,39.4,39.9,39.2,39.65,2583380
81437,VCB,20171009,39.35,39.65,39.15,39.4,2500440
81743,VCB,20171006,38.7,39.15,38.65,39.05,2322970
82043,VCB,20171005,39.2,40.0,38.7,38.7,5672370
82389,VCB,20171004,37.5,39.0,37.5,38.8,4836990
82703,VCB,20171003,37.8,37.9,37.5,37.6,1417210
83018,VCB,20171002,37.8,38.1,37.45,37.65,1205110
83350,VCB,20170929,37.25,37.75,37.2,37.6,2122200
83676,VCB,20170928,37.2,37.45,37.1,37.25,1573710
84009,VCB,20170927,37.0965,37.1944,36.7539,36.9008,1377060
84299,VCB,20170926,36.7013,36.897,36.5055,36.8518,871840
