Date,Open,High,Low,Close,Volume
20180418,42.7,42.7,40.2,40.2,1196420
20180417,40,41.9,39.7,41.9,2516280
20180416,41,42,40,40,2207540
20180413,44.5,44.8,41.7,42,3369270
20180412,44.3,45,43.6,44.4,1816480
20180411,46.8,46.8,44,44.5,2384910
20180410,44.9,46.4,44.8,45.5,4181500
20180409,44.3,45,43.4,44.4,2724810
20180406,44.2,44.7,43.8,44,1469830
20180405,44.8,44.8,43.75,44,1744010
20180404,45.1,45.45,44.8,44.8,1511210
20180403,45.3,45.8,44.7,45.1,1340170
20180402,43.8,45,42.95,45,2610170
20180330,43.8,43.95,42.65,43.4,2211040
20180329,44.55,44.7,43.8,44,896470
20180328,44,44.75,43.4,44.55,1672540
20180327,46,46.6,44.1,44.1,2941390
20180326,42,44.9,42,44.9,1932890
20180323,43.5,43.6,41.4,42.35,3661530
20180322,43.5,44.5,43.25,44.3,2525390
20180321,43.5,43.8,42.6,43.5,1606790
20180320,41.2,43.1,41,42.5,1866550
20180319,43,43.1,41.2,41.7,2366180
20180316,42.8,43.5,41.8,42.8,2628200
20180315,39,41.7,38.7,41.7,3528060
20180314,39.8,39.8,38.9,39,1996080
20180313,38.6,39.2,38,39.2,1980080
20180312,38.6,39,38,38.6,2014660
20180309,37.5,38,37,37.25,2263330
20180308,37.5,38,37,37.2,1132070
20180307,38,38.1,36.9,37.5,2053190
20180306,36,37.65,35.45,37.65,2525060
20180305,38.25,38.4,35.2,35.2,2589100
20180302,37,38,36.9,37.8,2378830
20180301,38.6,39.6,37.5,37.8,2634150
20180228,37.9,39.5,37.65,39,4521850
20180227,38.1,38.8,37.6,38.15,2216610
20180226,37.9,38.75,37.4,38.1,3516600
20180223,37,37.5,35.9,37.1,3624350
20180222,37,38.6,36.75,36.8,2856780
20180221,36,37.85,35.6,37.4,2137010
20180213,36.4,36.5,35,35.4,2458380
20180212,33,34.55,32.5,34.55,2363270
20180209,30,33,29.95,32.3,1800170
20180208,31.2,32.8,31.2,32.2,2043470
20180207,31.2,31.2,30,31.2,2058050
20180206,29.2,30.8,29.2,29.2,3316700
20180205,33.2,33.4,31.35,31.35,2790640
20180202,33.3,34.3,33.1,33.7,1771520
20180201,34.5,34.55,32.9,33.7,1894280
20180131,37.2,37.25,34.2,34.2,1755870
20180130,32.85,36,32.85,36,3283230
20180129,33,34.75,33,34.6,4395390
20180126,32.5,32.5,31.5,32.5,5677170
20180125,29.1,30.4,28.8,30.4,7986250
20180122,26.9,28.6,26.85,28.45,5040120
20180119,27.2,27.3,26.6,26.9,3553540
20180118,26.6,27.1,26.3,27.1,1833010
20180117,27.7,28.1,27,27,2847680
20180116,27.35,27.9,27.25,27.7,2368450
20180115,27.05,27.7,26.75,27.3,1787190
20180112,27.2,27.55,27.1,27.25,2484840
20180111,27.5,27.75,27.15,27.6,1566970
20180110,27.4,28.25,27.3,27.45,2817750
20180109,27.85,27.95,26,27.4,4214750
20180108,27.7,28.2,27.4,27.85,2053870
20180105,27.5,27.55,26.95,27.4,1908830
20180104,26.8,27.7,26.55,27.55,4424190
20180103,27,27.05,26.5,26.8,2458110
20171229,25.05,25.5,24.75,25.5,2593290
20171228,24.4,25.1,24.4,24.75,1382650
20171227,24.25,24.65,24.05,24.4,1201510
20171226,23.8,24.1,23.5,24.1,1009560
20171225,24.2,24.3,23.7,23.8,572480
20171222,23.9,24.2,23.5,23.85,1931970
20171221,24.5,24.8,24.2,24.2,1312160
20171220,24.1,24.7,24.05,24.5,873610
20171219,24.35,24.7,24.1,24.1,939300
20171218,24.3,24.5,24.2,24.35,1023650
20171215,24.2,24.45,23.85,24.3,642650
20171214,23.8,24.5,23.25,24.45,1472190
20171213,24.1,24.2,23.65,23.9,2017220
20171212,24,24.4,22.35,24.1,2619460
20171211,23.9,24.8,23.9,24,1236890
20171208,25.05,25.2,24.65,25,853010
20171207,25,25.15,24.55,25,642950
20171206,24.7,24.9,24.5,24.85,1856030
20171205,25.7,25.7,24.9,24.9,2429510
20171204,25.7,26.2,25.5,25.5,1010470
20171201,25.6,25.65,25.4,25.5,1313000
20171130,26,26.3,25.5,25.65,1539270
20171129,24.9,25.6,24.9,25.6,1644260
20171128,25.2,25.4,24.55,25,1735860
20171127,25.3,25.55,25.1,25.2,1300640
20171124,25.3,25.55,25,25.3,1762130
20171123,26,26.5,25.3,25.3,2648530
20171122,24.05,25.7,24,25.7,4041890
20171121,24,24.5,24,24.05,2397310
20171120,23.8,24.15,23.65,24,1424750
20171117,24.2,24.3,23.5,24.05,2518270
20171116,24.05,24.35,23.7,24.15,2383080
20171115,24.2,24.4,24,24.2,1143070
20171114,23.95,24.4,23.5,24.3,1976900
20171113,23.65,23.95,23.6,23.95,1456000
20171110,23.3,24.2,23.3,23.6,2655350
20171109,23.8,23.9,23.4,23.5,2328420
20171108,22.85,23.8,22.7,23.8,3162900
20171107,22.7,23.05,22.6,22.85,2397470
20171106,22.4,22.85,22.25,22.85,2248950
20171103,21.8,22.4,21.5,22.4,2000100
20171102,22.4,22.55,21.5,21.9,2240060
20171101,21.85,22.45,21.85,22.4,2540230
20171031,21.8,22.15,21.5,21.85,2860900
20171030,21.2,22.3,21.2,21.85,5516030
20171027,20.7,21.2,20.55,21.2,1525120
20171026,20.9,21.2,20.3,20.7,1949360
20171025,20.7,21.3,20.7,21,1419710
20171024,20.65,20.9,20.6,20.75,991780
20171023,20.9,21.45,20.8,20.9,2104280
20171020,21.1,21.45,21.1,21.4,2795090
20171019,21.2,21.35,20.8,21.25,2221120
20171018,21.5,21.7,21.3,21.4,3877330
20171017,20.4,21.5,20.4,21.5,5851150
20171016,20.2,20.45,20.2,20.35,1723790
20171013,20.1,20.25,20.05,20.2,720350
20171012,20.3,20.45,20.15,20.15,1237240
20171011,20.1,20.45,20.05,20.3,2054250
20171010,20,20.2,19.95,20,786110
20171009,20.2,20.3,20,20,1931480
20171006,19.85,20.2,19.8,19.95,2512220
20171005,20.2,20.25,19.85,19.9,1259970
20171004,19.9,20.2,19.85,20.05,1798560
20171003,19.8,20.2,19.7,19.85,2747020
20171002,19.6,20,19.6,19.7,1316100
20170929,19.65,19.85,19.6,19.6,2047180
20170928,20.2,20.4,19.65,19.65,2620840
20170927,20.4,20.5,20.2,20.2,1270120
20170926,20.4,20.6,20.35,20.4,1400280
20170925,20.6,20.65,20.3,20.4,1296670
20170922,20.7,20.9,20.6,20.6,1539180
20170921,20.4,20.9,20.35,20.85,3542580
20170920,20.65,20.65,20.4,20.5,1165030
20170919,20.6,20.85,20.45,20.65,1771760
20170918,20.4,20.7,20.35,20.5,1867500
20170915,20.65,20.65,20.35,20.4,761660
20170914,20.35,20.85,20.3,20.65,1630270
20170913,20.65,20.7,20.35,20.5,865900
20170912,20.1,20.7,20.05,20.5,1086660
20170911,20.2,20.6,20,20.2,1595410
20170908,20.85,20.85,20.35,20.35,2150240
20170907,20.55,21.2,20.55,20.85,2388710
20170906,20.7,20.9,20.45,20.6,2638220
20170905,21,21,20.6,20.95,1769650
20170901,21.1,21.6,20.75,21.05,3772890
20170831,19.4,20.7,19.35,20.7,5421350
20170830,19.7,19.7,19.35,19.35,1728800
20170829,19.65,19.9,19.6,19.65,1636320
20170828,19.75,19.9,19.55,19.65,1189610
20170825,19.9,20.1,19.7,19.75,1774880
20170824,19.45,19.9,19.4,19.8,2016560
20170823,19.15,19.5,19.05,19.4,1180060
20170822,19.6,19.6,19.15,19.15,1799420
20170821,19.75,19.85,19.2,19.65,1027780
20170818,19,20,18.8,19.75,2250620
20170817,20,20.15,19.1,19.2,5639850
20170816,20.3,20.4,19.8,20,2001570
20170815,20.75,20.8,20.3,20.3,1784120
20170814,20.3,20.8,20,20.8,1736920
20170811,20.2,20.4,19.8,20.3,2439370
20170810,20.2,20.8,19.4,20.3,4450650
20170809,22.1,22.1,20.4,20.4,9682480
20170808,21.8994,21.9963,21.7056,21.8994,2963240
20170807,21.5118,21.851,21.5118,21.8025,3107320
20170804,22.1901,22.1901,21.7056,21.7056,2565930
20170803,21.7056,22.287,21.7056,22.1901,4418090
20170802,21.1727,22.2386,20.9789,21.7541,6829100
20170801,21.318,21.6572,21.1242,21.5118,3554410
20170731,20.4459,21.6572,20.4459,21.5118,6728350
20170728,20.2037,20.5428,19.9614,20.349,5408060
20170727,19.9614,20.2037,19.7676,20.0583,3954610
20170726,19.7676,20.2521,19.7192,19.9614,4938950
20170725,18.7986,19.8645,18.7986,19.8645,4854620
20170724,18.6048,18.8955,18.3626,18.7986,1521320
20170721,19.0893,19.1862,18.6533,18.6533,2846690
20170720,18.6533,18.9924,18.411,18.9924,2885390
20170719,18.5564,18.6533,18.411,18.4595,1785650
20170718,18.2657,18.5079,18.1203,18.3626,1988430
20170717,18.8471,18.8955,18.2657,18.3141,2508150
20170714,19.0893,19.0893,18.7017,18.7017,1615650
20170713,18.7017,19.0409,18.6533,18.944,1427810
20170712,19.0893,19.0893,18.7017,18.7017,2218530
20170711,19.0893,19.1378,18.4595,19.0893,2406080
20170710,19.5738,19.6707,19.0893,19.0893,4280320
20170707,19.6707,19.9614,19.5254,19.5738,4883780
20170706,19.8645,20.0583,19.5254,19.6707,5082620
20170705,19.7192,19.8161,19.5738,19.7676,3792250
20170704,20.2521,20.2521,19.5738,19.6707,3960190
20170703,19.7676,20.3006,19.7676,20.0583,3702190
